anonymized_code,source_file,table_id,speaker_type,segment_count,total_chars,questions_covered,top_codes
D4_P01,HWEL1AR.docx,1,participant,3,4260,Q1;Q2;Q3,spiritual_moral_anchor;balance_multidimensional;institutional_example;mental_health_elderly;family_caregiver_ecology
D4_P02,HWEL1AR.docx,1,participant,3,7857,Q1;Q5,awareness_education;balance_multidimensional;mental_health_elderly;practical_suggestion;service_adequacy_reflection
D4_P03,HWEL1AR.docx,1,participant,4,2418,Q1;Q2;Q3,spiritual_moral_anchor;balance_multidimensional;contentment_acceptance;institutional_example;multidisciplinary_team
D4_P04,HWEL1AR.docx,1,participant,3,1747,Q1;Q2;Q3,spiritual_moral_anchor;balance_multidimensional;contentment_acceptance;family_caregiver_ecology;inner_peace_stability
D4_P05,HWEL1AR.docx,1,participant,2,969,Q1;Q3,balance_multidimensional;age_dignity_language;contentment_acceptance;dignity_autonomy;family_caregiver_ecology
D4_P06,HWEL1AR.docx,1,participant,2,950,Q2;Q5,balance_multidimensional;contentment_acceptance;mental_health_elderly
D4_P07,HWEL1AR.docx,1,participant,1,1112,Q2,family_caregiver_ecology;spiritual_moral_anchor
D4_P08,HWEL3AR.docx,3,participant,12,8242,Q1;Q2;Q3;Q5;Q6,dignity_autonomy;family_caregiver_ecology;age_dignity_language;balance_multidimensional;mental_health_elderly
D4_P09,HWEL3AR.docx,3,participant,2,1000,Q5;Q7,institutional_example;post_retirement_gap;training_deficit
D4_P10,HWEL3AR.docx,3,participant,4,3873,Q2;Q3;Q5;Q7,practical_suggestion;balance_multidimensional;family_caregiver_ecology;post_retirement_gap;age_dignity_language
D4_P11,HWEL3AR.docx,3,participant,2,1011,Q3;Q7,age_dignity_language;community_support_programs;dignity_autonomy;institutional_example;intergenerational_shift
D4_P12,HWEL3AR.docx,3,participant,9,10339,Q1;Q2;Q3;Q4;Q5;Q7,family_caregiver_ecology;age_dignity_language;dignity_autonomy;spiritual_moral_anchor;practical_suggestion
D4_P13,HWEL7AR.docx,7,participant,10,7202,Q1;Q2;Q3;Q4;Q5;Q6,family_caregiver_ecology;age_dignity_language;service_adequacy_reflection;balance_multidimensional;contentment_acceptance
D4_P14,HWEL7AR.docx,7,participant,13,13291,Q1;Q2;Q3;Q4;Q5;Q6;Q7,practical_suggestion;spiritual_moral_anchor;mental_health_elderly;institutional_example;service_adequacy_reflection
D4_P15,HWEL7AR.docx,7,participant,19,7481,Q1;Q2;Q3;Q4;Q6,spiritual_moral_anchor;practical_suggestion;age_dignity_language;institutional_example;dignity_autonomy
D4_P16,HWEL7AR.docx,7,participant,4,2214,Q1;Q2;Q3;Q4,age_dignity_language;mental_health_elderly;balance_multidimensional;contentment_acceptance;family_caregiver_ecology
D4_P17,HWEL7AR.docx,7,participant,10,6507,Q1;Q2;Q4;Q5;Q6;Q7,age_dignity_language;family_caregiver_ecology;spiritual_moral_anchor;institutional_example;mental_health_elderly
D4_P18,HWEL7AR.docx,7,participant,1,45,Q2,general_response;service_recipient_voice
D4_P19,HWEL7AR.docx,7,participant,2,83,Q4,general_response
D4_P20,HWEL7AR.docx,7,participant,4,3580,Q4;Q5,balance_multidimensional;spiritual_moral_anchor;cultural_barrier;policy_recommendation;service_adequacy_reflection
D4_P21,HWEL7AR.docx,7,participant,2,1273,Q6;Q7,age_dignity_language;interdisciplinary_model
D4_P22,HWEL9AR.docx,9,participant,121,11485,Q1;Q2;Q3;Q4;Q5;Q6;Q7,spiritual_moral_anchor;family_caregiver_ecology;balance_multidimensional;service_adequacy_reflection;community_support_programs
D4_P23,HWEL9AR.docx,9,participant,106,10358,Q1;Q3;Q4;Q5;Q6;Q7,spiritual_moral_anchor;family_caregiver_ecology;service_adequacy_reflection;institutional_example;mental_health_elderly
D4_P24,HWEL9AR.docx,9,participant,12,1491,Q1;Q3;Q4,family_caregiver_ecology;spiritual_moral_anchor;balance_multidimensional;mental_health_elderly;safety_security
D4_P25,HWEL9AR.docx,9,participant,238,19985,Q1;Q2;Q3;Q4;Q5;Q6;Q7,service_adequacy_reflection;balance_multidimensional;spiritual_moral_anchor;dignity_autonomy;family_caregiver_ecology
D4_P26,HWEL10AR.docx,10,participant,6,2601,Q1;Q2;Q4;Q5,technology_integration;balance_multidimensional;institutional_example;person_centered_care;cultural_barrier
D4_P27,HWEL10AR.docx,10,participant,5,1767,Q1;Q2;Q3,balance_multidimensional;technology_integration;dependence_resistance;dignity_autonomy;mental_health_elderly
D4_P28,HWEL10AR.docx,10,participant,6,2568,Q1;Q2;Q3;Q5,technology_integration;awareness_education;balance_multidimensional;dependence_resistance;family_caregiver_ecology
D4_P29,HWEL10AR.docx,10,participant,4,2344,Q1;Q2;Q3;Q7,technology_integration;balance_multidimensional;spiritual_moral_anchor;contentment_acceptance;cultural_barrier
