segment_id,source_file,table_id,speaker_code,speaker_type,role_label,attribution_status,question_id,segment_text,codes,language
D1_S0001,HWCH0AR.docx,0,D1_M01,moderator,"Moderator, Table 0",identified,Q1,So I give him the canceled form because we are recording now.,general_response,ar
D1_S0002,HWCH0AR.docx,0,D1_M01,moderator,"Moderator, Table 0",identified,Q1,"No, no, no. Still the eyes. Yes.",general_response,ar
D1_S0003,HWCH0AR.docx,0,D1_M01,moderator,"Moderator, Table 0",identified,Q1,"Now can you tell us about your,",general_response,ar
D1_S0004,HWCH0AR.docx,0,D1_P03,participant,"Mental health professional, Table 0",identified,Q1,"so I, so what is some,",general_response,ar
D1_S0005,HWCH0AR.docx,0,D1_M01,moderator,"Moderator, Table 0",identified,Q1,I think you go for Safari,general_response,ar
D1_S0006,HWCH0AR.docx,0,D1_P03,participant,"Mental health professional, Table 0",identified,Q1,"some, yeah. Something that I'm proud of. Well, from, from a non-work point of view, the thing that I'm most proud of is my, I have three daughters and one granddaughter. And, uh, the thing that connects that to my work is they're all strong advocates of mental health and wellbeing.",interdependent_care,ar
D1_S0007,HWCH0AR.docx,0,D1_P03,participant,"Mental health professional, Table 0",identified,Q1,"That I might be genetic or something, but, but from a, from a work point of view, and I think this is relevant to Qatar, I think the thing that I'm most proud of is, um, the introduction of the national Mental Health Health plan. Um, just a very brief story. So we were doing some, um, mental health awareness and we did a walk with Cater Airways on the runway at, at Dohan International Airport.",awareness_education;pillar_intellectual,ar
D1_S0008,HWCH0AR.docx,0,D1_P03,participant,"Mental health professional, Table 0",identified,Q1,"And then following that, we were given sort of green t-shirts to wear about mental health during COD. We. Had a call from a, a man who was threatening to take his life on Sea Ring Road. He called the helpline and fortunately the person on the helpline managed to keep talking to him and in the meantime called an ambulance and he was rescued from the side of the road.",general_response,ar
D1_S0009,HWCH0AR.docx,0,D1_P03,participant,"Mental health professional, Table 0",identified,Q1,"And that's the last I heard of it. A few weeks later, I was out running with my very green t-shirt on that I got from with, and this man stopped me on the pearl and said, um, do you know about mental health? And I said, yes. And he said, what? Do you have anything to do with the help, the National helpline?",general_response,ar
D1_S0010,HWCH0AR.docx,0,D1_P03,participant,"Mental health professional, Table 0",identified,Q1,"And I said, yes, it's part of what Hammered Medical Corporation does. And he said, and he looked me in the eye and said, your helpline saved my best friend's life. And then he told me about his friend who had been on the Ring Road and had made the call. So in terms of something that I'm proud of, the fact that all of us, any of us have been part of that initiative, I think is, uh, something to be proud of.",healthcare_system_critique,ar
D1_S0011,HWCH0AR.docx,0,D1_P02,participant,"Healthcare professional, Table 0",identified,Q1,"job. I chose, I'm not fan of chocolate necessarily, but I chose this one and it says, what is the best piece of advice you have received in your life? I, I would say I was, uh, privileged to have many advisors, but for the sake of today's discussion, I would go with one of them, which was, uh, given to me by.",general_response,ar
D1_S0012,HWCH0AR.docx,0,D1_P02,participant,"Healthcare professional, Table 0",identified,Q1,"One of my professor and at the medical school, when I was in my fourth year, we did, uh, I, I studied medicine, uh, king Faisal University in Saudi Arabia, Inam. And in fourth year, actually fifth year, we, we do clinical rotations and one of them is psychiatry. So a professor , uh, me bless his, yeah. You know him, Meah, bless his soul.",school_clinical_link,ar
D1_S0013,HWCH0AR.docx,0,D1_P02,participant,"Healthcare professional, Table 0",identified,Q1,"He, he died 36-year-old.",general_response,ar
D1_S0014,HWCH0AR.docx,0,D1_P05,participant,"Healthcare professional, Table 0",identified,Q1,We have been in mostly together.,general_response,ar
D1_S0015,HWCH0AR.docx,0,D1_P02,participant,"Healthcare professional, Table 0",identified,Q1,"So a professor one day, I don't know what he saw on me, but he said to me, what specialty, what career are you thinking to do in the future? I said, bro, I'm still open. He said, I think psychiatry should be a, a, a good one for you.",practical_recommendation,ar
D1_S0016,HWCH0AR.docx,0,D1_P02,participant,"Healthcare professional, Table 0",identified,Q1,"I didn't have the chance, the opportunity to ask him why he said that to me in particular, but, uh, he's now gone. But I really admire it. Uh, psychiatry. It was like a, a door or a window open to me understanding humans better, uh, interpersonal relationships, uh, thinking, uh, in a, in a, in a more comprehensive, holistic way.",balance_multidimensional;pillar_social,ar
D1_S0017,HWCH0AR.docx,0,D1_P02,participant,"Healthcare professional, Table 0",identified,Q1,"And I don't regret a minute of doing psychiatry and if, if I were to, to give the same advice, which I continue to do within my role, uh, during my, uh, uh, like in my faculty appointment at the University of Awa, right now, uh, for the undergraduate, I always go around the table and I meet with all the students.",school_clinical_link,ar
D1_S0018,HWCH0AR.docx,0,D1_P02,participant,"Healthcare professional, Table 0",identified,Q1,"I say, what do you like it to be? So when they tell me, I wanna do pathology or surgery or medicine or pediatric, I say, this is great, but do understand and enjoy the six weeks rotation and psychiatry because it will be the window to open it that will open good skills in any specialist. And I'll stop you.",training_deficit,ar
D1_S0019,HWCH0AR.docx,0,D1_P05,participant,"Healthcare professional, Table 0",identified,Q1,It's the art of practicing medicine.,general_response,ar
D1_S0020,HWCH0AR.docx,0,D1_M01,moderator,"Moderator, Table 0",identified,Q1,"Now, we will come to another thing, which is like, we have to do the five pillars.",general_response,ar
D1_S0021,HWCH0AR.docx,0,D1_M01,moderator,"Moderator, Table 0",identified,Q1,"for the wellbeing. Okay. And no, we will let you enjoy the day. Don't worry. This is another game.",general_response,ar
D1_S0022,HWCH0AR.docx,0,D1_P01,participant,"Psychiatrist, Table 0",identified,Q1,Yeah. This is another game.,general_response,ar
D1_S0023,HWCH0AR.docx,0,D1_M01,moderator,"Moderator, Table 0",identified,Q1,"And now you have the wellbeing, five pillars.",general_response,ar
D1_S0024,HWCH0AR.docx,0,D1_P01,participant,"Psychiatrist, Table 0",identified,Q1,"Yeah. And there is, and then you have to find out values. You have to find out which fits and which, and then which one",general_response,ar
D1_S0025,HWCH0AR.docx,0,D1_P01,participant,"Psychiatrist, Table 0",identified,Q1,"Okay. You, you can work it together, you can work on one sheet. Yeah, you can work in one sheet.",general_response,ar
D1_S0026,HWCH0AR.docx,0,D1_P02,participant,"Healthcare professional, Table 0",identified,Q1,at the end we have to fill in all this Uh Yes.,general_response,ar
D1_S0027,HWCH0AR.docx,0,D1_P01,participant,"Psychiatrist, Table 0",identified,Q1,"Until you think, for example, this one goes under which one.",general_response,ar
D1_S0028,HWCH0AR.docx,0,D1_P01,participant,"Psychiatrist, Table 0",identified,Q1,"You know, spiritual or emotional, you just, you know, just if you don't know, guess it.",pillar_emotional;spiritual_moral_anchor,ar
D1_S0029,HWCH0AR.docx,0,D1_P01,participant,"Psychiatrist, Table 0",identified,Q1,Okay. But I know I think Iman faith would come under. Okay. Okay.,spiritual_moral_anchor,ar
D1_S0030,HWCH0AR.docx,0,D1_P02,participant,"Healthcare professional, Table 0",identified,Q1,wisdom will come in the with you.,general_response,ar
D1_S0031,HWCH0AR.docx,0,D1_P01,participant,"Psychiatrist, Table 0",identified,Q1,"I seen, you know, the practice.",general_response,ar
D1_S0032,HWCH0AR.docx,0,D1_P05,participant,"Healthcare professional, Table 0",identified,Q1,Yeah. Should go there.,practical_recommendation,ar
D1_S0033,HWCH0AR.docx,0,D1_P02,participant,"Healthcare professional, Table 0",identified,Q1,You would you agree on that?,general_response,ar
D1_S0034,HWCH0AR.docx,0,D1_P03,participant,"Mental health professional, Table 0",identified,Q1,"Social? Yeah, yeah, yeah, yeah. Yeah. Health,",pillar_social,ar
D1_S0035,HWCH0AR.docx,0,D1_P02,participant,"Healthcare professional, Table 0",identified,Q1,"Consideration. I think again, it comes with the social, with",pillar_social,ar
D1_S0036,HWCH0AR.docx,0,D1_P03,participant,"Mental health professional, Table 0",identified,Q1,"you. Yeah, yeah, yeah. Prevention, health, physical.",early_detection_prevention;pillar_physical,ar
D1_S0037,HWCH0AR.docx,0,D1_P02,participant,"Healthcare professional, Table 0",identified,Q1,"Uh, prevention. Prevention.",early_detection_prevention,ar
D1_S0038,HWCH0AR.docx,0,D1_P02,participant,"Healthcare professional, Table 0",identified,Q1,"It should be, yeah. Prevention because Yeah. Kind of strength. Maybe those here. So you",early_detection_prevention,ar
D1_S0039,HWCH0AR.docx,0,D1_P03,participant,"Mental health professional, Table 0",identified,Q1,Yeah. Yeah. Here would be physical.,pillar_physical,ar
D1_S0040,HWCH0AR.docx,0,D1_P02,participant,"Healthcare professional, Table 0",identified,Q1,"Physical. Okay. Uh, how about this one? Physical, right?",pillar_physical,ar
D1_S0041,HWCH0AR.docx,0,D1_P03,participant,"Mental health professional, Table 0",identified,Q1,"Emotional, maybe, uh,",pillar_emotional,ar
D1_S0042,HWCH0AR.docx,0,D1_P03,participant,"Mental health professional, Table 0",identified,Q1,Responsible. Yeah. So,general_response,ar
D1_S0043,HWCH0AR.docx,0,D1_P03,participant,"Mental health professional, Table 0",identified,Q1,"strength here. Oh, no. Maybe determination.",general_response,ar
D1_S0044,HWCH0AR.docx,0,D1_P02,participant,"Healthcare professional, Table 0",identified,Q1,I would say here. This one is here.,general_response,ar
D1_S0045,HWCH0AR.docx,0,D1_P02,participant,"Healthcare professional, Table 0",identified,Q1,"No, but this is more determination. It has to be determination. That comes from thinking, right?",general_response,ar
D1_S0046,HWCH0AR.docx,0,D1_P02,participant,"Healthcare professional, Table 0",identified,Q1,I think we're a good team.,interdependent_care,ar
D1_S0047,HWCH0AR.docx,0,D1_P02,participant,"Healthcare professional, Table 0",identified,Q1,"Do you speak Arabic or just lifted words? Very, because I noticed when you can in you said understand,",cultural_local_adaptation,ar
D1_S0048,HWCH0AR.docx,0,D1_P03,participant,"Mental health professional, Table 0",identified,Q1,I can understand a bit more.,general_response,ar
D1_S0049,HWCH0AR.docx,0,D1_P03,participant,"Mental health professional, Table 0",identified,Q1,"I, my biggest regret, and I, I do think that a colleague may have said this to me. I didn't think I would be in Qatar as long as I have been. So in the first couple of years when we first met, he said, just learn a little bit. Yeah. I tell. a colleague used to come every day. So I learned some work, but I didn't.",cultural_local_adaptation,ar
D1_S0050,HWCH0AR.docx,0,D1_P03,participant,"Mental health professional, Table 0",identified,Q1,And it's my biggest regret. Never,general_response,ar
D1_S0051,HWCH0AR.docx,0,D1_P03,participant,"Mental health professional, Table 0",identified,Q1,"Well, we, I went to a, I went to a meeting with the MY and there was a very senior Captain Sha,",general_response,ar
D1_S0052,HWCH0AR.docx,0,D1_M01,moderator,"Moderator, Table 0",identified,Q1,you are done already.,general_response,ar
D1_S0053,HWCH0AR.docx,0,D1_P02,participant,"Healthcare professional, Table 0",identified,Q1,you. We're the best.,general_response,ar
D1_S0054,HWCH0AR.docx,0,D1_M01,moderator,"Moderator, Table 0",identified,Q1,Of course. You should be the best.,practical_recommendation,ar
D1_S0055,HWCH0AR.docx,0,D1_P03,participant,"Mental health professional, Table 0",identified,Q1,"Yeah. So I went to this meeting and, uh, the, this guy said, a colleague was there and he said, how long has he been in Qatar?",cultural_local_adaptation,ar
D1_S0056,HWCH0AR.docx,0,D1_P03,participant,"Mental health professional, Table 0",identified,Q1,"And a colleague said, seven years or something. He said, okay, we hold the meeting in Arabic. And a colleague said he hasn't got much Arabic. And he said, seven years. It was just one word a day. He just needed it.",cultural_local_adaptation,ar
D1_S0057,HWCH0AR.docx,0,D1_P02,participant,"Healthcare professional, Table 0",identified,Q1,"Ah, you would have mastered it by then. Huh? This is great.",general_response,ar
D1_S0058,HWCH0AR.docx,0,D1_P03,participant,"Mental health professional, Table 0",identified,Q1,We don't know if we about it right though.,general_response,ar
D1_S0059,HWCH0AR.docx,0,D1_P02,participant,"Healthcare professional, Table 0",identified,Q1,So the table who finished it first should be reward.,practical_recommendation,ar
D1_S0060,HWCH0AR.docx,0,D1_P03,participant,"Mental health professional, Table 0",identified,Q1,"You get, you get a joke.",general_response,ar
D1_S0061,HWCH0AR.docx,0,D1_P02,participant,"Healthcare professional, Table 0",identified,Q1,"Ah, maybe I got what?",general_response,ar
D1_S0062,HWCH0AR.docx,0,D1_M01,moderator,"Moderator, Table 0",identified,Q1,"No, we just can't discuss if we want to be like,",general_response,ar
D1_S0063,HWCH0AR.docx,0,D1_P02,participant,"Healthcare professional, Table 0",identified,Q1,"would you like to reconsider some of them? I think No, no, no. It's okay. These are okay. Social responsibility. Attention.",pillar_social,ar
D1_S0064,HWCH0AR.docx,0,D1_M01,moderator,"Moderator, Table 0",identified,Q1,We can sign the consent for because we are recording.,general_response,ar
D1_S0065,HWCH0AR.docx,0,D1_M01,moderator,"Moderator, Table 0",identified,Q1,"English? No, you, it's the English version. I, I managed to give you one.",general_response,ar
D1_S0066,HWCH0AR.docx,0,D1_P03,participant,"Mental health professional, Table 0",identified,Q1,You're too considerate.,general_response,ar
D1_S0067,HWCH0AR.docx,0,D1_M01,moderator,"Moderator, Table 0",identified,Q1,"You imagine that you give a patient a consent for you don't,",service_recipient_voice,ar
D1_S0068,HWCH0AR.docx,0,D1_P02,participant,"Healthcare professional, Table 0",identified,Q1,"I guess it doesn't apply to me. 'cause I'm not gonna be participating the, the whole five days.",general_response,ar
D1_S0069,HWCH0AR.docx,0,D1_P02,participant,"Healthcare professional, Table 0",identified,Q1,been for this 24 day I'm leaving back to Saudi on the fourth.,general_response,ar
D1_S0070,HWCH0AR.docx,0,D1_P02,participant,"Healthcare professional, Table 0",identified,Q1,"Because this one, this happened, like I learned about it about a week ago.",general_response,ar
D1_S0071,HWCH0AR.docx,0,D1_M01,moderator,"Moderator, Table 0",identified,Q1,"It's just for this day. But there is some people going to stay with us for the five days. But you just decide for this day because we need your consent because you are participating. Uh, we are recording. We are gonna ask you question. We are gonna take your answers. All of this data consent. If you did not sign, we cannot use your information.",general_response,ar
D1_S0072,HWCH0AR.docx,0,D1_P03,participant,"Mental health professional, Table 0",identified,Q1,I'm here today and Thursday. I'm not here in between.,general_response,ar
D1_S0073,HWCH0AR.docx,0,D1_M01,moderator,"Moderator, Table 0",identified,Q1,I think you would be here in Thursday.,general_response,ar
D1_S0074,HWCH0AR.docx,0,D1_M01,moderator,"Moderator, Table 0",identified,Q2,"we have. To take this opportunity to make a research collaboration with research with Saudi Arabia. Yeah, because like I'm always comparing genetics marker between Middle Eastern. Oh. And we are always underrepresented, you know, so I think this is.",interdependent_care,ar
D1_S0075,HWCH0AR.docx,0,D1_P02,participant,"Healthcare professional, Table 0",identified,Q2,"Uh, the best to contact is, uh, king, uh, specialist Hospital and the research center they hire me.",healthcare_system_critique;professional_identity,ar
D1_S0076,HWCH0AR.docx,0,D1_M01,moderator,"Moderator, Table 0",identified,Q2,We'll discuss about that. That with do well.,general_response,ar
D1_S0077,HWCH0AR.docx,0,D1_P05,participant,"Healthcare professional, Table 0",identified,Q2,I think this also you have to sign also.,general_response,ar
D1_S0078,HWCH0AR.docx,0,D1_P02,participant,"Healthcare professional, Table 0",identified,Q2,"No, it is by the research.",general_response,ar
D1_S0079,HWCH0AR.docx,0,D1_P05,participant,"Healthcare professional, Table 0",identified,Q2,"Hold, excuse me. Could you please? Yeah.",general_response,ar
D1_S0080,HWCH0AR.docx,0,D1_M01,moderator,"Moderator, Table 0",identified,Q2,"Nice. I would be secluded. No,",general_response,ar
D1_S0081,HWCH0AR.docx,0,D1_P02,participant,"Healthcare professional, Table 0",identified,Q2,come on. Come. Come one second. Okay.,general_response,ar
D1_S0082,HWCH0AR.docx,0,D1_P02,participant,"Healthcare professional, Table 0",identified,Q2,Nice. Whose idea is this? Very good. Innovative.,general_response,ar
D1_S0083,HWCH0AR.docx,0,D1_P01,participant,"Psychiatrist, Table 0",identified,Q2,You can be the judge.,general_response,ar
D1_S0084,HWCH0AR.docx,0,D1_M01,moderator,"Moderator, Table 0",identified,Q2,Okay. Another one? Another,general_response,ar
D1_S0085,HWCH0AR.docx,0,D1_P02,participant,"Healthcare professional, Table 0",identified,Q2,I will get it from you.,general_response,ar
D1_S0086,HWCH0AR.docx,0,D1_P01,participant,"Psychiatrist, Table 0",identified,Q2,Thank you very much.,general_response,ar
D1_S0087,HWCH0AR.docx,0,D1_P03,participant,"Mental health professional, Table 0",identified,Q2,Good result. Yesterday.,general_response,ar
D1_S0088,HWCH0AR.docx,0,D1_P01,participant,"Psychiatrist, Table 0",identified,Q2,Yesterday. Which United for now?,general_response,ar
D1_S0089,HWCH0AR.docx,0,D1_P05,participant,"Healthcare professional, Table 0",identified,Q2,"And this is my WhatsApp number. You know, it's different from, I think you got it already.",general_response,ar
D1_S0090,HWCH0AR.docx,0,D1_M01,moderator,"Moderator, Table 0",identified,Q2,"Just now. Why they select. Can you tell me why you use select number? Uh, each one for each color.",general_response,ar
D1_S0091,HWCH0AR.docx,0,D1_M01,moderator,"Moderator, Table 0",identified,Q2,"Yeah. Let's discuss it when,",general_response,ar
D1_S0092,HWCH0AR.docx,0,D1_P02,participant,"Healthcare professional, Table 0",identified,Q2,of course. Yeah. Yeah.,general_response,ar
D1_S0093,HWCH0AR.docx,0,D1_P02,participant,"Healthcare professional, Table 0",identified,Q2,They were saying that we were expected to discuss why we,general_response,ar
D1_S0094,HWCH0AR.docx,0,D1_M01,moderator,"Moderator, Table 0",identified,Q2,chose Which one? Why you choose each one. Each one. Let them finish the thing,general_response,ar
D1_S0095,HWCH0AR.docx,0,D1_P05,participant,"Healthcare professional, Table 0",identified,Q2,"Now it sub 3, 3 1 3. Uh,",general_response,ar
D1_S0096,HWCH0AR.docx,0,D1_P01,participant,"Psychiatrist, Table 0",identified,Q2,"told just she saying, why did you pick the values under each of these? What was the justification? We",general_response,ar
D1_S0097,HWCH0AR.docx,0,D1_M01,moderator,"Moderator, Table 0",identified,Q2,"can like you look, give me, so certification, not the examiner, I'm just a mother.",family_support_ecology,ar
D1_S0098,HWCH0AR.docx,0,D1_P03,participant,"Mental health professional, Table 0",identified,Q2,"So, I mean, from a spiritual point of view, I guess it feels fully of this purification being clean, expressing my faith and worshiping seems to me to be the most appropriate in this group.",spiritual_moral_anchor,ar
D1_S0099,HWCH0AR.docx,0,D1_P03,participant,"Mental health professional, Table 0",identified,Q2,agree. I agree. Totally agree.,general_response,ar
