evidence_id,theme,segment_id,source_file,table_id,speaker_code,speaker_type,role_label,attribution_status,evidence_type,question_id,excerpt_text,codes,language,report_use
D2_S0001,Theme_1_Multidimensional_Wellbeing_Framework,D2_S0001,HWYO0AR.docx,0,D2_P02,participant,"Consultant obstetrician-gynaecologist, Table 0",identified,verbatim_transcript,Q1,الحياة الطيبة بالنسبة للإنسان نفسه تبدأ منه أولا، وتنقسم هي الحياة طيبة في فكري إلى عدة أقسام، حياة نفسية مثل ما شرحته حياة نفسية، حياة اجتماعية، حياة بدنية، حياة روحية. هذه كلها ركائز، كل واحدة ، وهي مرتبطة ومتشابكة مع ببعضها البعض، على أساس الإنسان يستفيد منها، ويحيا حياة طيبة.,balance_multidimensional;pillar_spiritual;pillar_physical;pillar_social;professional_identity,ar,theme_evidence
D2_S0011,Theme_1_Multidimensional_Wellbeing_Framework,D2_S0011,HWYO0AR.docx,0,D2_P05,participant,"Senior psychiatrist and policy adviser, Table 0",identified,verbatim_transcript,Q1,الحياة طيبة يعني كما تفضل الإخوة الكرام الأعزاء تعني الرضا، هل أنت راضي عن ذاتك؟ تعني أن تكون مفيدا لنفسك ولغيرك. هذه واحدة من الركائز المهمة جدا. الحياة الطيبة تعني الطمأنينة، تعني الانضباط، بالنسبة لي تعني عدم فرض قيمك على الآخرين، لكن وفي الوقت نفسه يجب أن لا تنزل لمستوى قيمهم وممارساتهم ما دمت تراها خاطئة. الحياة الطيبة تتطلب أن تعمل لدنياك ولآخرتك. تستمتع بكل ما هو جميل في الحياة، وأن تكون مستعد للقاء ربك ، هذا واحد من المبادئ الأساسية . الحياة الطيبة تعني أيضا أن يكون حولك أناس طيبين، أن تنشئ أولادك، أسرتك، أحفادك على أفضل ما يكون، وأن يعرفوا المبادئ الأساسية لقيمة الحياة ولقيمة الإنسان ولقيمة العافية ولقيمة الحب، هذه أيضا يجب أن تتأصل في الأولاد ومن هم حولك.,contentment_acceptance;balance_multidimensional;inner_peace_stability;support_as_wellbeing_core;professional_identity,ar,theme_evidence
D2_S0240,Theme_1_Multidimensional_Wellbeing_Framework,D2_S0240,HWYO9AR.docx,9,D2_P16,participant,"Laboratory psychologist, Table 9",identified,verbatim_transcript,Q1,"So it's a balanced personality that you showed to an individual. So whether it's spiritual, physical, emotional, it's a balance of everything. So whatever you give, you project to others, it can reflect and it will be carried out by the one who is receiving.",balance_multidimensional;spiritual_moral_anchor;professional_identity,en,theme_evidence
D2_S0245,Theme_1_Multidimensional_Wellbeing_Framework,D2_S0245,HWYO9AR.docx,9,D2_P21,participant,"Specialist family medicine, PHCC, Table 9",identified,verbatim_transcript,Q1,"I think to me, well-being is a balance between health, happiness and purpose. So, it's a state of the mind where you feel connected to the people and you feel you have some purpose in the life and where you are able to cope with the stress and resilience in your life and you can regulate the emotions. So, it's basically fulfillment of all these aspects in the life is well-being.",balance_multidimensional;support_as_wellbeing_core;functionality_self_management;professional_identity,en,theme_evidence
D2_S0255,Theme_1_Multidimensional_Wellbeing_Framework,D2_S0255,HWYO9AR.docx,9,D2_P15,participant,"Clinical psychologist, PHCC, Table 9",identified,verbatim_transcript,Q2,"For me, I think it's about functioning again, right? So if you are able to get up in the morning and do everything that you need to do, not at a perfect level, not at 100%, but just able to do it and having time to look after yourself within that as well. So I think someone who is doing what they need to do and also doing what they want to do. So it's not just about what we have to do, but what our heart wants to do, like your hobbies or seeing people you love, whatever.",functionality_self_management;professional_identity,en,theme_evidence
D2_S0131,Theme_1_Multidimensional_Wellbeing_Framework,D2_S0131,HWYO11AR.docx,11,D2_P38,participant,"Dental clinician, private sector, Table 11",identified,verbatim_transcript,Q2,مثلما قالت إحدى المشاركات أكيد أنا لما أفكر بالعافية بطلّع عالصحة، لكن لما أنا أفكر بعافيتي، الصحة مانها كلشي، لما افكر بعافيتي أفكر هل أنا منتجة بالمجتمع هل أنا نفسيا مرتاحة وعندي علاقات اجتماعية، الصحة مهمة بتأثر عالعافية بس العافية النفسية مهمة جدا مثل لما تفضلت الدكتورة لما أكون تعبانة نفسيا ما رح اقدر اروح عالشغل وأنتج، إن كان اجتماعيا أو حتى بالحياة العملية، في أكثر من جانب، في كذا عامل الصحي والنفسي والاجتماعي. لما يجي لعندي أنا اختصاصي أعصاب، يجي لعندي المريض موجوع، وأنبسط لما يروح المريض مبسوط بالشغل ومافي ألم هذا يزيد من عافيتي وأكون راضي بشغلي، بحس حالي أنتجت وساعدت المريض، بحس بالعافية لأنه مبسوطة باللي عملته.. اكيد الشكاوى تتأثر، بس هذا الrisk موجود بكل البيئات، أكيد هاد بيأثر، بتخف عافيتي بس أكيد بترجع بعدين.,contentment_acceptance;support_as_wellbeing_core;pillar_social;professional_identity,ar,theme_evidence
D2_S0132,Theme_1_Multidimensional_Wellbeing_Framework,D2_S0132,HWYO11AR.docx,11,D2_P38,participant,"Dental clinician, private sector, Table 11",identified,verbatim_transcript,Q3,لما الواحد يكون نشيط ذهنيا يقدر ينتج بالمجتمع، هلأ كل الركائز مهمة للواحد يحصل العافية، الركيزة الرويحة يعني الواحد يكون مرتاح نفسيا هاد بياثر عالحياة الطيبة، الركيزة العاطفية واحد يكون عنده support، عنده علاقات طيبة مع العائلة والأصحاب هذا كله يأثر عالwellbeing، الركيزة البدنية لما يكون الشخص خالي من الأمراض، مو خالي بس متعايش مع الأمراض، والركيزة الاجتماعية أنه يكون عنده علاقات جيدة مع الأصحاب ومنّه شخص قاعد بتوحّد، الركيزة الاجتماعية بالعالم العربي عنده هي الروابط العائلية القوية، بعتبر الركيزة الاجتماعية، خصوصي بالعالم العربي واصلين أكيد... يعني لازم يكون في توازن بين الركائز، أكيد مو كل الركائز حتكون موجودة 100%، بس لازم يكون في توازن حتى يكون الشخص مرتاح بالحياة.,balance_multidimensional;support_as_wellbeing_core;pillar_emotional;pillar_physical;pillar_social;professional_identity,ar,theme_evidence
D2_S0175,Theme_1_Multidimensional_Wellbeing_Framework,D2_S0175,HWYO4AR.docx,4,D2_P12,participant,"General paediatrics clinician, Table 4",identified,verbatim_transcript,Q3,الحياة طيبة بالنسبة لي طبعا اكثر شيء الرضا والضا بالقضاء والقدر، ودائما مساعدة. الآخرين وتخفيف الألم على الناس وتكون مسؤول والركائز الخمسة الموجودة كلها من الأج المهمة تعيش حياة طيبة أو تجعل الناس تعيش حياة طيبة. ممتاز,contentment_acceptance;balance_multidimensional;spiritual_moral_anchor;professional_identity,ar,theme_evidence
D2_S0026,Theme_2_Youth_Social_Ecology_and_Disconnection,D2_S0026,HWYO0AR.docx,0,D2_P02,participant,"Consultant obstetrician-gynaecologist, Table 0",identified,verbatim_transcript,Q3,نحن -كما ذكرت مشاركة أخرى- نعيش حالة من الانفتاح الكبير على وسائل التواصل الاجتماعي. لذا، إذا لم يقم الوالدان بحماية الأبناء منذ صغرهم، ويعلموهم الركائز الخمس، ويربطوهم بالدين والتمسك به من هذه الناحية؛ فإن الأمر سينتهي بالفشل. نحن نعالج كل الركائز، والبداية تكون من الأسرة والشباب في سن الطفولة؛ فمن تربى على شيء في صغره شاب عليه. هذا هو مفهومنا الاجتماعي. وكل ذلك يعتمد على الروح؛ لماذا؟ لأننا نعيش هذه الركائز في حياتنا الاجتماعية والعملية، فإذا لم تكن الروح يقظة، فلن تستطيع تيسير الأمور التي تمر بها؛ فإلى الآن توجد أشياء قاسية في الحياة، تحتاج إلى روحٍ يقظة لتهدئتها والتخفيف من وطأتها.,balance_multidimensional;spiritual_moral_anchor;family_support_ecology;digital_social_media_pressure;pillar_social;professional_identity,ar,theme_evidence
D2_S0028,Theme_2_Youth_Social_Ecology_and_Disconnection,D2_S0028,HWYO0AR.docx,0,D2_P04,participant,"Mental-health executive, Table 0",identified,verbatim_transcript,Q3,أنا أنظر للأمر من منظور اجتماعي بحت؛ فإذا تأملنا الأمراض المنتشرة في هذه الفئة العمرية بالذات، سنجد أن أغلبها يعود لسبب رئيسي وهو 'العزلة الاجتماعية'. والعزلة في مفهومنا الحديث لا تعني غياب العائلة أو الوالدين، بل تعني أن يعيش الفرد داخل أسرته ومع ذلك يظل معزولاً.,spiritual_moral_anchor;family_support_ecology;peer_belonging_isolation;pillar_social;professional_identity,ar,theme_evidence
