segment_id,source_file,table_id,speaker_code,speaker_type,role_label,attribution_status,question_id,segment_text,codes,language
D2_S0001,HWYO0AR.docx,0,D2_P02,participant,"Consultant obstetrician-gynaecologist, Table 0",identified,Q1,الحياة الطيبة بالنسبة للإنسان نفسه تبدأ منه أولا، وتنقسم هي الحياة طيبة في فكري إلى عدة أقسام، حياة نفسية مثل ما شرحته حياة نفسية، حياة اجتماعية، حياة بدنية، حياة روحية. هذه كلها ركائز، كل واحدة ، وهي مرتبطة ومتشابكة مع ببعضها البعض، على أساس الإنسان يستفيد منها، ويحيا حياة طيبة.,general_response,ar
D2_S0002,HWYO0AR.docx,0,D2_M01,moderator,"Moderator, Table 0",identified,Q1,لو تتكرمين د. سلوى، قبل سماعك لتعريف الحياة الطيبة في هذه الورشة. كيف كان تصورك حول هذا المفهوم؟,moderator_context,ar
D2_S0003,HWYO0AR.docx,0,D2_P02,participant,"Consultant obstetrician-gynaecologist, Table 0",identified,Q1,"بصراحة في البداية عندما استدعيت للمشاركة في الورشة، لم أكن مستوعبة ما معنى الحياة الطيبة، و ماذا سوف نتناقش؟ وما هي الحياة الطيبة منظوركم؟ ما هي المحاور؟ حتى أنني سألت أمس ""الدكتور سازغار"" أكثر من مرة، غدا آتي للورشة، في أي شيء سأتكلم؟ كنت أتكلم معها بعفوية، لكن عندما قالت لي ""This is wellbeing""  بعدها فهمت المقصد، لكن بصراحة قبل هذا ;كلمة ""حياة طيبة"" ماكنت أفهمها.",general_response,ar
D2_S0004,HWYO0AR.docx,0,D2_M01,moderator,"Moderator, Table 0",identified,Q1,دكتور زينة بداية لو تخبرينا عن تصورك. للحياة الطيبة قبل وبعد الورشة؟,moderator_context,ar
D2_S0005,HWYO0AR.docx,0,D2_P03,participant,"Consultant obstetrician-gynaecologist and executive leader, Table 0",identified,Q1,بالنسبة لي أوافق ما قالت الدكتورة سلوى، أنا أيضا لم يكن لدي فكرة عن الحياة الطيبة، صحيح أنا استمعت للقاء الشيخة حصة، وسمعت اللقاء كاملا في اليوتيوب في مقابلتها التي كانت حول الحياة الطيبة. لقد شاهدت هذا اللقاء من حوالي شهر تقريبا. وبعدها وصلتنا دعوات للمشاركة في هذه الورشة، لم نكن ندري بأننا سنقوم بأنشطة مثل هذه، أو أن نتحدث عن تأثير الحياة الطيبة على العاملين في القطاع الصحي ووزارة الصحة، كنا نظنه لقاء فكري يتعلق بجامعة قطر، هذا هو انطباعي الأولي قبل اللقاء. حتى أنني قبل أن آتي للقاء طلبت من السكرتيرة ترسل لي المراسلات لكي أعرف محور النقاشات.,general_response,ar
D2_S0006,HWYO0AR.docx,0,D2_P04,participant,"Mental-health executive, Table 0",identified,Q1,صراحة من الصعب أن أضيف أي شيء بعد كلام الدكتورة زينة، -ما شاء الله- غطت فكرة الحياة الطيبة.,general_response,ar
D2_S0007,HWYO0AR.docx,0,D2_M01,moderator,"Moderator, Table 0",identified,Q1,ولكن لو تعطينا فكرة حول الحياة الطيبة قبل وبعد مشاركة في الورشة؟,moderator_context,ar
D2_S0008,HWYO0AR.docx,0,D2_P04,participant,"Mental-health executive, Table 0",identified,Q1,كوني أعمل بالصحة النفسية، فعندي خلفية عن الحياة الطيبة، وال wellbeing -وهي الترجمة الإنجليزية للكلمة-  من أكثر الكلمات التي يساء استخدامها. هناك الكثير من الناس من يتحدثون عن wellbeing لكن ليس بالنظرة الشمولية الصحيحة. ففكرة الحياة الطيبة هي من الأفكار المجتمعية الشمولية التي تعتمد على ركائز ، بمعنى أنه قد يكون الإنسان بصحة جسدية ممتازة ، ووضعه المادي ممتاز، عائلتك موجودة بجانبه، ولكنك نفسيتة متدهورة. فمن الممكن أن يلجأ هذا الشخص لقضايا إدمان وممكن يتطور الأمر لانتحار، وهذا الكلام موجود في كل المجتمعات.,general_response,ar
D2_S0009,HWYO0AR.docx,0,D2_M01,moderator,"Moderator, Table 0",identified,Q1,يعني جحم حديث الناس عن wellbeing لا يعكس الواقع؟,moderator_context,ar
D2_S0010,HWYO0AR.docx,0,D2_P04,participant,"Mental-health executive, Table 0",identified,Q1,"بالضبط، لا، لا، بل لأنه يفتقر للشمولية في التفكير، ونعني بالشمولية بالتفكير أننا عندما نتحدث عن wellbing يعني نحن نتحدث عن كيف يمكن للإنسان أن يعيش في مجتمع و هو راضي ومبسوط بهذا المجتمع. ولكن في نفس الوقت مثلا أنا أحرمه من الوصول إلى الخدمة الصحية، أو أنه بحاجة لرعاية صحية معينة لكنها غير متوفرة، فكيف سيكون عنده wellbeing؟ ,كيف سيكون له هذه النظرة الشمولية.",general_response,ar
