anonymized_code,source_file,table_id,speaker_type,role_label,turns,chars,classification_basis
D3_M01,HWAD0NT1.docx,0,moderator,"Moderator, Table 0",0,0,"Classified as moderator from Moderators.xlsx only because table 0 is a note-only source."
D3_M02,HWAD1AR.docx,1,moderator,"Moderator, Table 1",46,4058,"Classified as moderator from transcript opening (`moderator هنادي أحمد أبو بكر`) and repeated facilitation turns, cross-checked with `moderator_register_refresh.csv`."
D3_M03,HWAD3AR.docx,3,moderator,"Moderator, Table 3",1,282,"Retained as moderator from Moderators.xlsx and one generic `المحاور` facilitation turn; transcript naming remains probable rather than confirmed."
D3_M04,HWAD4AR.docx,4,moderator,"Moderator, Table 4",88,10409,"Classified as moderator from repeated `مدير الجلسة` facilitation turns and moderator-register review."
D3_M05,HWAD5NT1.docx,5,moderator,"Moderator, Table 5",0,0,"Classified as moderator from Moderators.xlsx only because table 5 is a note-only source."
D3_M06,HWAD6AR.docx,6,moderator,"Moderator, Table 6",0,0,"Retained as moderator from Moderators.xlsx; transcript question prompts show facilitation but do not preserve a stable moderator label."
D3_M07,HWAD7NT1.docx,7,moderator,"Moderator, Table 7",0,0,"Classified as moderator from Moderators.xlsx only because table 7 is a note-only source."
D3_M08,HWAD9NT1.docx,9,moderator,"Moderator, Table 9",0,0,"Classified as moderator from Moderators.xlsx only because table 9 is a note-only source."
D3_M09,HWAD10AR.docx,10,moderator,"Moderator, Table 10",24,3235,"Classified as moderator from explicit `Moderator` speaker labels in the transcript and moderator-register review."
D3_M10,HWAD11NT2.docx,11,moderator,"Moderator, Table 11",0,0,"Classified as moderator from Moderators.xlsx only because table 11 is a note-only source."
D3_P01,HWAD1AR.docx,1,participant,"Islamic affairs expert and family-education consultant, Table 1",16,5583,"Classified as participant from repeated named substantive turns (`د. أحمد الفرجابي`) in the transcript."
D3_P02,HWAD1AR.docx,1,participant,"Social rehabilitation specialist, Aman Centre, Table 1",13,3661,"Classified as participant from repeated named substantive turns (`د. وائل`) in the transcript."
D3_P03,HWAD3AR.docx,3,participant,"Psychiatrist, HMC Mental Health, Table 3",12,2611,"Classified as participant from repeated short-name turns (`د. مها`) and one fuller transcript label (`د/مها (طبيب نفسي – HMC Mental Health)`)."
D3_P04,HWAD3AR.docx,3,participant,"College of health sciences leader, Table 3",15,2862,"Classified as participant from repeated short-name turns (`د. حنان`) and one fuller transcript label indicating senior health-sciences leadership."
D3_P05,HWAD3AR.docx,3,participant,"Student, Table 3",16,3459,"Classified as participant from repeated short-name turns (`أ. وضحى`) and one fuller transcript label identifying her as `طالبة`."
D3_P06,HWAD3AR.docx,3,participant,"Midwife, Al Wakra Hospital, Table 3",9,2465,"Classified as participant from repeated short-name turns (`أ. آمنة`) and a fuller transcript label (`midwife – مستشفى الوكرة`)."
D3_P07,HWAD3AR.docx,3,participant,"Midwife, Al Wakra Hospital, Table 3",11,3492,"Classified as participant from repeated short-name turns (`أ. أميرة`) and a fuller transcript label (`midwife – مستشفى الوكرة`)."
D3_P08,HWAD3AR.docx,3,participant,"Psychologist, Aman Centre, Table 3",10,2522,"Classified as participant from repeated short-name turns (`د. داليا`) and one fuller transcript label (`اخصائي نفسي – أمان`)."
D3_P09,HWAD4AR.docx,4,participant,"Head of central laboratories, Hamad Hospital, Table 4",13,938,"Classified as participant from repeated role-labelled turns (`مشاعل الأنصاري( مسؤولة المختبرات المركزية بمستشفى حمد)`) in the transcript."
D3_P10,HWAD4AR.docx,4,participant,"Senior consultant, Table 4",4,927,"Classified as participant from repeated role-labelled turns (`د. ساسجار`) in the transcript."
D3_P11,HWAD4AR.docx,4,participant,"Psychologist, Table 4",12,1461,"Classified as participant from repeated role-labelled turns (`د. أروى حسين`) in the transcript."
D3_P12,HWAD4AR.docx,4,participant,"Midwife, Table 4",2,288,"Classified as participant from repeated role-labelled turns (`د. سحر السيد` / `أ.سحر سيد`) in the transcript."
D3_P13,HWAD4AR.docx,4,participant,"Dietitian, Table 4",4,1013,"Classified as participant from repeated role-labelled turns (`أ. عائشة المعصومي`) in the transcript."
D3_P14,HWAD4AR.docx,4,participant,"Nurse, HMC psychiatric hospital, Table 4",12,1236,"Classified as participant from repeated role-labelled turns (`منى سالم`) in the transcript."
D3_P15,HWAD4AR.docx,4,participant,"Senior research assistant, medical research centre, Table 4",11,2187,"Classified as participant from repeated role-labelled turns (`هند الجابر`) in the transcript."
D3_P16,HWAD4AR.docx,4,participant,"University academic in psychology, Table 4",18,1839,"Classified as participant from repeated role-labelled turns (`د. خالد`) in the transcript."
